edge_id,from_vertex,to_vertex,klasaDrogi,length_m,time_s
1,1,2,I,175.36713156142068,12.626433472422288
2,3,4,GP,23.137294539213176,0.8329426034116744
3,5,6,GP,25.85698367048788,0.9308514121375637
4,7,8,Z,32.42771671805166,2.3347956036997197
5,9,7,Z,97.71947691250426,7.035802337700306
6,8,10,Z,28.230190944329756,2.0325737479917425
7,7,11,Z,40.13102420621265,2.8894337428473107
8,12,13,Z,107.96179351445133,7.773249133040496
9,13,14,Z,33.97962786197702,2.4465332060623455
10,15,12,Z,15.614803873242622,1.1242658788734687
11,16,17,Z,9.210573488671802,0.6631612911843697
12,17,18,Z,11.981150442201828,0.8626428318385316
13,18,19,Z,9.94872714735731,0.7163083546097263
14,20,21,GP,29.55971988280184,1.0641499157808663
15,22,23,Z,34.586973494520265,2.490262091605459
16,23,20,Z,22.354467061518342,1.6095216284293206
17,24,25,Z,28.47938325696215,2.0505155945012747
18,25,26,Z,20.303106049176282,1.4618236355406924
19,27,28,Z,61.14614191155496,4.402522217631957
20,29,30,Z,18.082440842431353,1.3019357406550573
21,31,32,I,18.947636038195803,1.3642297947500979
22,33,34,Z,16.177917047582227,1.1648100274259203
23,35,36,Z,17.153965978057922,1.2350855504201703
24,37,38,Z,18.160363803210466,1.3075461938311534
25,39,40,Z,21.723472274810348,1.564090003786345
26,41,39,Z,3.0434519874566153,0.2191285430968763
27,42,43,Z,4.93740725324626,0.3554933222337307
28,40,44,Z,7.479472146398591,0.5385219945406986
29,44,42,Z,17.3529667773685,1.249413607970532
30,43,45,Z,15.91843659855374,1.1461274350958692
31,45,41,Z,18.95820658048176,1.3649908737946868
32,46,47,Z,38.300566401490116,2.757640780907288
33,39,47,Z,88.127156281621,6.345155252276712
34,40,46,Z,43.03808299532239,3.098741975663212
35,48,49,Z,90.88487057812058,6.543710681624682
36,50,51,Z,63.28081981043654,4.556219026351431
37,52,50,Z,60.571396354399056,4.361140537516732
38,51,53,Z,14.858350084473408,1.0698012060820854
39,53,52,Z,71.82995544747254,5.171756792218023
40,54,55,L,21.527993703131507,1.5500155466254684
41,56,57,I,173.27186896029843,12.475574565141487
42,58,59,I,209.1845001665206,15.061284011989482
43,60,61,L,15.039697470272392,1.0828582178596122
44,62,63,L,8.980022285043894,0.6465616045231604
45,64,60,L,32.39006792212283,2.332084890392844
46,65,66,L,10.405342553560036,0.7491846638563225
