vertex_id,x,y,x_astar,y_astar
1,477172.8,576037.05,12270.157714285715,14812.381285714288
2,477067.84,575901.51,12267.458742857145,14808.895971428572
3,473526.14,570464.59,12176.386457142858,14669.089457142858
4,473503.86,570460.87,12175.813542857144,14668.9938
5,473510.11,570444.91,12175.974257142858,14668.583400000001
6,473534.44,570436.64,12176.599885714288,14668.370742857145
7,470546.26,572082.71,12099.760971428572,14710.698257142858
8,470542.41,572114.82,12099.661971428572,14711.523942857142
9,470576.51,571990.6,12100.538828571429,14708.329714285715
10,470545.59,572142.83,12099.743742857145,14712.244200000001
11,470572.84,572108.12,12100.44445714286,14711.351657142859
12,470792.98,571253.06,12106.1052,14689.364400000002
13,470832.44,571158.33,12107.119885714286,14686.928485714287
14,470832.8,571124.36,12107.129142857144,14686.054971428572
15,470791.09,571268.56,12106.056600000002,14689.762971428574
16,472727.17,571881.82,12155.841514285716,14705.532514285715
17,472733.29,571887.73,12155.998885714285,14705.684485714286
18,472725.61,571894.96,12155.8014,14705.8704
19,472719.65,571887.98,12155.648142857144,14705.690914285715
20,473084.42,571831.39,12165.027942857143,14704.235742857145
21,473105.04,571810.21,12165.558171428573,14703.691114285715
22,473071.7,571873.97,12164.700857142858,14705.330657142858
23,473095.47,571849.73,12165.312085714286,14704.707342857144
24,473520.27,572349.33,12176.235514285716,14717.5542
25,473548.47,572346.38,12176.960657142858,14717.478342857145
26,473567.08,572340.36,12177.4392,14717.323542857144
27,482634.84,575303.29,12410.610171428572,14793.513171428574
28,482691.67,575325.69,12412.071514285715,14794.089171428572
29,475704.75,574668.03,12232.407857142858,14777.177914285716
30,475710.6,574650.92,12232.558285714285,14776.737942857146
31,475860.36,574704.72,12236.409257142857,14778.121371428571
32,475869.71,574688.24,12236.649685714287,14777.697600000001
33,475383.48,573281.09,12224.146628571429,14741.513742857143
34,475373.03,573268.74,12223.877914285717,14741.196171428572
35,476011.09,574722.38,12240.285171428573,14778.575485714287
36,476009.61,574739.47,12240.247114285716,14779.014942857144
37,475486.94,574613.98,12226.80702857143,14775.788057142858
38,475491.72,574596.46,12226.929942857143,14775.337542857143
39,478955.39,574649.84,12315.995742857143,14776.71017142857
40,478935.75,574648.33,12315.490714285716,14776.671342857144
41,478957.14,574652.33,12316.040742857143,14776.7742
42,478935.28,574670.11,12315.47862857143,14777.2314
43,478939.52,574672.63,12315.587657142858,14777.2962
44,478931.24,574654.22,12315.374742857144,14776.8228
45,478954.4,574669.78,12315.970285714287,14777.222914285716
46,478943.31,574606.96,12315.685114285716,14775.607542857144
47,478936.87,574569.39,12315.519514285716,14774.64145714286
48,479470.0,573184.04,12329.228571428572,14739.018171428574
49,479554.39,573217.78,12331.398600000002,14739.885771428573
50,480124.31,573464.64,12346.053685714287,14746.233600000001
51,480167.14,573503.74,12347.15502857143,14747.23902857143
52,480099.34,573518.51,12345.411600000001,14747.61882857143
53,480162.02,573517.57,12347.023371428573,14747.594657142858
54,470074.74,567952.88,12087.636171428572,14604.50262857143
55,470053.23,567952.0,12087.083057142858,14604.480000000001
56,470613.18,576947.84,12101.481771428573,14835.8016
57,470779.33,576996.8,12105.754200000001,14837.060571428574
58,472235.98,576758.79,12143.210914285715,14830.940314285717
59,472273.17,576552.94,12144.167228571428,14825.647028571428
60,473646.99,574451.3,12179.49402857143,14771.60485714286
61,473646.45,574466.33,12179.480142857145,14771.991342857144
62,473652.7,574378.13,12179.640857142858,14769.723342857144
63,473652.72,574369.15,12179.641371428572,14769.49242857143
64,473648.13,574418.93,12179.523342857145,14770.772485714288
65,473649.21,574602.82,12179.551114285716,14775.501085714286
66,473658.65,574606.77,12179.793857142859,14775.60265714286
67,473509.56,572891.62,12175.960114285715,14731.498800000001
68,473532.23,572892.61,12176.543057142857,14731.524257142857
69,476855.28,573448.31,12261.992914285716,14745.813685714289
70,476898.58,573454.68,12263.106342857145,14745.977485714287
71,476919.77,573481.85,12263.65122857143,14746.676142857143
72,476858.3,573459.86,12262.070571428572,14746.110685714286
73,476923.33,573422.93,12263.742771428573,14745.16105714286
74,470179.67,567957.15,12090.334371428571,14604.61242857143
75,470129.14,567955.09,12089.03502857143,14604.559457142857
76,476802.2,574742.8,12260.628,14779.100571428573
77,476846.16,574660.49,12261.7584,14776.984028571429
78,475965.63,574895.22,12239.1162,14783.019942857143
79,475876.36,574881.93,12236.820685714287,14782.678200000002
80,470588.13,567655.28,12100.83762857143,14596.85005714286
